A00;Χολέρα
D58.9;Κληρονομική αιμολυτική αναιμία, μη καθορισμένη
D59;Επίκτητη αιμολυτική αναιμία
D59.0;Αυτοάνοση αιμολυτική αναιμία φαρμακευτικής αιτιολογίας
D59.1;Άλλες αυτοάνοσες αιμολυτικές αναιμίες
D59.2;Μη αυτοάνοση αιμολυτική αναιμία φαρμακευτικής αιτιολογίας
D59.3;Αιμολυτικό-ουραιμικό σύνδρομο
D59.4;Άλλες μη αυτοάνοσες αιμολυτικές αναιμίες
D59.5;Παροξυσμική νυκτερινή αιμοσφαιρινουρία [Marchiafava-Micheli]
D59.6;Αιμοσφαιρινουρία οφειλόμενη σε αιμόλυση από άλλους εξωγενείς αιτιολογικούς παράγοντες
D59.8;Άλλες επίκτητες αιμολυτικές αναιμίες
D59.9;Επίκτητη αιμολυτική αναιμία, μη καθορισμένη
D60;Επίκτητη αμιγής απλασία των ερυθροκυττάρων [ερυθροβλαστοπενία]
D60.0;Χρόνια επίκτητη αμιγής απλασία των ερυθροκυττάρων
D60.1;Παροδική επίκτητη αμιγής απλασία των ερυθροκυττάρων
D60.8;Άλλες μορφές επίκτητης αμιγούς απλασίας των ερυθροκυττάρων
D60.9;Επίκτητη αμιγής απλασία των ερυθροκυττάρων, μη καθορισμένη
D61;Άλλες απλαστικές αναιμίες
D61.0;Ιδιοσυστατική απλαστική αναιμία
D61.1;Απλαστική αναιμία φαρμακευτικής αιτιολογίας
D61.2;Απλαστική αναιμία οφειλόμενη σε άλλους εξωγενείς παράγοντες
D61.3;Ιδιοπαθής απλαστική αναιμία
D61.8;Άλλες καθορισμένες απλαστικές αναιμίες
D61.9;Απλαστική  αναιμία, μη καθορισμένη
D62;Οξεία μεθαιμορραγική αναιμία
D63*;Αναιμία σε χρόνια νοσήματα που ταξινομούνται αλλού
D63.0*;Αναιμία στα νεοπλασματικά νοσήματα (C00- D48+ )
D63.8*;Αναιμία σε άλλα χρόνια νοσήματα που ταξινομούνται αλλού
D64;Άλλες αναιμίες
D64.0;Κληρονομική σιδηροβλαστική αναιμία
D64.1;Δευτερογενής σιδηροβλαστική αναιμία που οφείλεται σε νόσημα
D64.2;Δευτερογενής σιδηροβλαστική αναιμία οφειλόμενη σε φάρμακα και τοξίνες
D64.3;Άλλες μορφές σιδηροβλαστικής αναιμίας
D64.4;Συγγενής δυσερυθροποιητική αναιμία
D64.8;Άλλες καθορισμένες αναιμίες
D64.9;Αναιμία, μη καθορισμένη
D65;Διάχυτη ενδαγγειακή πήξη [σύνδρομο ινωδόλυσης]
D66;Κληρονομική ανεπάρκεια του παράγοντα VIII
D67;Κληρονομική ανεπάρκεια του παράγοντα ΙΧ
D68;Άλλες διαταραχές της πήξης του αίματος
D68.0;Νόσος του von Willebrand
D68.1;Κληρονομική ανεπάρκεια του παράγοντα ΧΙ
D68.2;Κληρονομική ανεπάρκεια άλλων παραγόντων της πήξης
D68.3;Αιμορραγικές διαταραχές που οφείλονται σε κυκλοφορούντα αντιπηκτικά
D68.4;Επίκτητη ανεπάρκεια παράγοντα της πήξης
D68.8;Άλλες καθορισμένες διαταραχές της πήξης
D68.9;Διαταραχή της πήξης, μη καθορισμένη
D69;Πορφύρα και άλλες αιμορραγικές καταστάσεις
D69.0;Αλλεργική πορφύρα
D69.1;Ποιοτικές διαταραχές των αιμοπεταλίων
D69.2;Άλλες περιπτώσεις μη θρομβοπενικής πορφύρας
D69.3;Ιδιοπαθής θρομβοπενική πορφύρα
D69.4;Άλλες μορφές πρωτοπαθούς θρομβοπενίας 
D69.5;Δευτεροπαθής θρομβοπενία
D69.6;Θρομβοκυττοπενία, μη καθορισμένη 
D69.8;Άλλες καθορισμένες αιμορραγικές καταστάσεις
D69.9;Αιμορραγική κατάσταση, μη καθορισμένη.
D70;Ακοκκιοκυτταραιμία
D71;Λειτουργικές διαταραχές των ουδετερόφιλων πολυμορφοπυρήνων
D72;Άλλες διαταραχές των λευκών αιμοσφαιρίων
D72.0;Γενετικές ανωμαλίες των λευκοκυττάρων
D72.1;Ηωσινοφιλία
D72.8;Άλλες καθορισμένες διαταραχές των λευκών αιμοσφαιρίων
D72.9;Διαταραχή των λευκών αιμοσφαιρίων, μη καθορισμένη
D73;Νοσήματα του σπλήνα
D73.0;Υποσπληνισμός
D73.1;Υπερσπληνισμός
D73.2;Χρόνια συμφορητική σπληνομεγαλία
D73.3;Απόστημα του σπλήνα
D73.4;Κύστη του σπλήνα
D73.5;Έμφρακτο του σπλήνα
D73.8;Άλλα νοσήματα του σπλήνα
D73.9;Νόσος του σπλήνα, μη καθορισμένη
D74;Μεθαιμοσφαιριναιμία
D74.0;Συγγενής μεθαιμοσφαιριναιμία
D74.8;Άλλες μεθαιμοσφαιριναιμίες
D74.9;Μεθαιμοσφαιριναιμία, μη καθορισμένη
D75;Άλλα νοσήματα του αίματος και των αιμοποιητικών οργάνων
D75.0;Οικογενής ερυθροκυττάρωση
D75.1;Δευτερογενής πολυκυτταραιμία
D75.2;Ιδιοπαθής θρομβοκυττάρωση
D75.8;Άλλα καθορισμένα νοσήματα  του αίματος και των αιμοποιητικών οργάνων
D75.9;Νόσημα του αίματος και των αιμοποιητικών οργάνων, μη καθορισμένο
D76;Ορισμένα νοσήματα του λεμφοδικτυωτού ιστού και του δικτυοϊστιοκυτταρικού συστήματος
D76.0;Ιστιοκύττωση κυττάρων Langerhans,  που δεν ταξινομείται αλλού
D76.1;Αιμοφαγοκυτταρική λεμφοϊστιοκύττωση
D76.2;Αιμοφαγοκυτταρικό σύνδρομο, σχετιζόμενο  με λοιμώξεις
D76.3;Άλλα σύνδρομα ιστιοκύττωσης
D77*;Άλλες διαταραχές του αίματος και των αιμοποιητικών οργάνων σε νοσήματα που ταξινομούνται αλλού
D80;Ανοσοανεπάρκεια με βλάβες κυρίως των αντισωμάτων
D80.0;Κληρονομική υπογαμμασφαιριναιμία
D80.1;Μη οικογενής υπογαμμασφαιριναιμία
D80.2;Εκλεκτική ανεπάρκεια της ανοσφαιρίνης Α [IgA]
D80.3;Εκλεκτική ανεπάρκεια των υποκατηγοριών της ανοσοσφαιρίνης G [IgG]
D80.4;Εκλεκτική ανεπάρκεια της ανοσοσφαιρίνης Μ [IgM]
D80.5;Ανοσοανεπάρκεια με αυξημένη ανοσοσφαιρίνη Μ [1gM]
D80.6;Αντισωματική ανεπάρκεια με σχεδόν φυσιολογικά επίπεδα ανοσοσφαιρινών ή με υπεργαμμασφαιριναιμία
D80.7;Παροδική υπογαμμασφαιριναιμία της βρεφικής ηλικίας
D80.8;Άλλες ανοσοανεπάρκειες με βλάβες κυρίως των αντισωμάτων
D80.9;Ανοσοανεπάρκεια με βλάβες κυρίως των αντισωμάτων, μη καθορισμένη
D81;Συνδυασμένες ανοσοαναπάρκειες
D81.0;Σοβαρή συνδυασμένη ανοσοανεπάρκεια [SCID] με δικτυωτή δυσγενεσία
D81.1;Σοβαρή συνδυασμένη ανοσοανεπάρκεια [SCID] με ελαττωμένους αριθμούς Τ- και Β-λεμφοκυττάρων
D81.2;Σοβαρή συνδυασμένη ανοσοανεπάρκεια [SCID] με χαμηλό ή φυσιολογικό αριθμό Β-λεμφοκυττάρων
D81.3;Ανεπάρκεια της απαμινάσης της αδενοσίνης [ADA]
D81.4;Σύνδρομο Nezelof
D81.5;Ανεπάρκεια της φωσφορυλάσης της πουρινικής νουκλεοσίδης [PNP]
D81.6;Ανεπάρκεια του συμπλέγματος μείζονος ιστοσυμβατότητας κατηγορίας Ι
D81.7;Ανεπάρκεια του συμπλέγματος μείζονος ιστοσυμβατότητας κατηγορίας ΙΙ
D81.8;Άλλες συνδυασμένες ανοσοανεπάρκειες
D81.9;Συνδυασμένη ανοσοανεπάρκεια, μη καθορισμένη 
D82;Ανοσοανεπάρκεια σχετιζόμενη με άλλες μείζονες βλάβες
D82.0;Σύνδρομο Wiskott-Aldrich
D82.1;Σύνδρομο Di George
D82.2;Ανοσοανεπάρκεια με χαμηλό ανάστημα και βραχέα άκρα.
D82.3;Ανοσοανεπάρκεια μετά από κληρονομική ελλειματική ανταπόκριση προς τον ιό Epstein-Barr
D82.4;Σύνδρομο υπερανοσοσφαιρίνης Ε [IgE]
D82.8;Ανοσοανεπάρκεια σχετιζόμενη με άλλες καθορισμένες μείζονες βλάβες 
D82.9;Ανοσοανεπάρκεια σχετιζόμενη με μείζονα βλάβη, μη καθορισμένη
D83;Κοινή ποικίλη ανοσοανεπάρκεια
D83.0;Κοινή ποικίλη ανοσοανεπάρκεια με επικρατούσες ανωμαλίες του αριθμού και της λειτουργίας των Β-κυττάρων
D83.1;Κοινή ποικίλη ανοσοανεπάρκεια με επικρατούσες ανοσορυθμιστικές διαταραχές των Τ-κυττάρων 
D83.2;Κοινή ποικίλη ανοσοανεπάρκεια με αυτοαντισώματα έναντι των Β- ή Τ- κυττάρων
D83.8;Άλλες κοινές ποικίλες ανοσοανεπάρκειες
